"No.","Time","Source","Destination","Protocol","Length","Info"
"69","3.976705","192.168.43.205","36.37.122.158","TCP","85","63114  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=31"
"70","3.976897","192.168.43.205","36.37.122.158","TCP","54","63114  >  8082 [FIN, ACK] Seq=32 Ack=1 Win=257 Len=0"
"71","3.977432","192.168.43.205","36.37.122.158","TCP","85","63113  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=31"
"72","3.977572","192.168.43.205","36.37.122.158","TCP","54","63113  >  8082 [FIN, ACK] Seq=32 Ack=1 Win=257 Len=0"
"73","3.978034","192.168.43.205","36.37.122.158","TCP","85","63112  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=31"
"74","3.978172","192.168.43.205","36.37.122.158","TCP","54","63112  >  8082 [FIN, ACK] Seq=32 Ack=1 Win=257 Len=0"
"75","3.978658","192.168.43.205","36.37.122.158","TCP","85","63111  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=31"
"76","3.978799","192.168.43.205","36.37.122.158","TCP","54","63111  >  8082 [FIN, ACK] Seq=32 Ack=1 Win=257 Len=0"
"77","3.979256","192.168.43.205","36.37.122.158","TCP","85","63110  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=31"
"78","3.979393","192.168.43.205","36.37.122.158","TCP","54","63110  >  8082 [FIN, ACK] Seq=32 Ack=1 Win=257 Len=0"
"79","3.980138","192.168.43.205","36.37.122.158","TCP","85","63109  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=257 Len=31"
"80","3.980275","192.168.43.205","36.37.122.158","TCP","54","63109  >  8082 [FIN, ACK] Seq=32 Ack=1 Win=257 Len=0"
"81","4.027469","36.37.122.158","192.168.43.205","TCP","66","8082  >  63112 [ACK] Seq=1 Ack=1 Win=111 Len=0 SLE=32 SRE=33"
"82","4.029315","36.37.122.158","192.168.43.205","TCP","66","8082  >  63114 [ACK] Seq=1 Ack=1 Win=111 Len=0 SLE=32 SRE=33"
"83","4.029592","36.37.122.158","192.168.43.205","TCP","66","8082  >  63109 [ACK] Seq=1 Ack=1 Win=111 Len=0 SLE=32 SRE=33"
"84","4.029592","36.37.122.158","192.168.43.205","TCP","66","8082  >  63111 [ACK] Seq=1 Ack=1 Win=111 Len=0 SLE=32 SRE=33"
"85","4.029592","36.37.122.158","192.168.43.205","TCP","66","8082  >  63110 [ACK] Seq=1 Ack=1 Win=111 Len=0 SLE=32 SRE=33"
"86","4.029592","36.37.122.158","192.168.43.205","TCP","66","8082  >  63113 [ACK] Seq=1 Ack=1 Win=111 Len=0 SLE=32 SRE=33"
"87","4.029592","36.37.122.158","192.168.43.205","TCP","54","8082  >  63114 [ACK] Seq=1 Ack=33 Win=111 Len=0"
"88","4.029592","36.37.122.158","192.168.43.205","TCP","54","8082  >  63112 [ACK] Seq=1 Ack=33 Win=111 Len=0"
"89","4.029592","36.37.122.158","192.168.43.205","TCP","54","8082  >  63109 [ACK] Seq=1 Ack=33 Win=111 Len=0"
"90","4.029592","36.37.122.158","192.168.43.205","TCP","54","8082  >  63113 [ACK] Seq=1 Ack=33 Win=111 Len=0"
"91","4.029978","36.37.122.158","192.168.43.205","TCP","54","8082  >  63111 [ACK] Seq=1 Ack=33 Win=111 Len=0"
"92","4.029978","36.37.122.158","192.168.43.205","TCP","54","8082  >  63110 [ACK] Seq=1 Ack=33 Win=111 Len=0"
"93","4.029978","36.37.122.158","192.168.43.205","TCP","54","8082  >  63113 [FIN, ACK] Seq=1 Ack=33 Win=111 Len=0"
"94","4.029978","36.37.122.158","192.168.43.205","TCP","54","8082  >  63112 [FIN, ACK] Seq=1 Ack=33 Win=111 Len=0"
"95","4.030177","192.168.43.205","36.37.122.158","TCP","54","63113  >  8082 [ACK] Seq=33 Ack=2 Win=257 Len=0"
"96","4.030353","192.168.43.205","36.37.122.158","TCP","54","63112  >  8082 [ACK] Seq=33 Ack=2 Win=257 Len=0"
"97","4.032479","36.37.122.158","192.168.43.205","TCP","54","8082  >  63114 [FIN, ACK] Seq=1 Ack=33 Win=111 Len=0"
"98","4.032611","192.168.43.205","36.37.122.158","TCP","54","63114  >  8082 [ACK] Seq=33 Ack=2 Win=257 Len=0"
"99","4.032802","36.37.122.158","192.168.43.205","TCP","54","8082  >  63109 [FIN, ACK] Seq=1 Ack=33 Win=111 Len=0"
"100","4.032802","36.37.122.158","192.168.43.205","TCP","54","8082  >  63111 [FIN, ACK] Seq=1 Ack=33 Win=111 Len=0"
"101","4.032802","36.37.122.158","192.168.43.205","TCP","54","8082  >  63110 [FIN, ACK] Seq=1 Ack=33 Win=111 Len=0"
"102","4.032925","192.168.43.205","36.37.122.158","TCP","54","63109  >  8082 [ACK] Seq=33 Ack=2 Win=257 Len=0"
"103","4.033048","192.168.43.205","36.37.122.158","TCP","54","63111  >  8082 [ACK] Seq=33 Ack=2 Win=257 Len=0"
"104","4.033167","192.168.43.205","36.37.122.158","TCP","54","63110  >  8082 [ACK] Seq=33 Ack=2 Win=257 Len=0"
"105","4.288456","192.168.43.205","142.251.10.93","TLSv1.2","687","Application Data"
"106","4.288730","192.168.43.205","142.251.10.93","TCP","1398","63115  >  443 [ACK] Seq=1115 Ack=79 Win=256 Len=1344 [TCP segment of a reassembled PDU]"
"107","4.288730","192.168.43.205","142.251.10.93","TCP","1398","63115  >  443 [ACK] Seq=2459 Ack=79 Win=256 Len=1344 [TCP segment of a reassembled PDU]"
"108","4.288730","192.168.43.205","142.251.10.93","TCP","1398","63115  >  443 [ACK] Seq=3803 Ack=79 Win=256 Len=1344 [TCP segment of a reassembled PDU]"
"109","4.288730","192.168.43.205","142.251.10.93","TCP","1398","63115  >  443 [ACK] Seq=5147 Ack=79 Win=256 Len=1344 [TCP segment of a reassembled PDU]"
"110","4.288730","192.168.43.205","142.251.10.93","TCP","1398","63115  >  443 [ACK] Seq=6491 Ack=79 Win=256 Len=1344 [TCP segment of a reassembled PDU]"
"111","4.288730","192.168.43.205","142.251.10.93","TLSv1.2","1182","Application Data"
"112","4.353393","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=1115 Win=302 Len=0"
"113","4.353721","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=2459 Win=312 Len=0"
"114","4.353721","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=3803 Win=323 Len=0"
"115","4.353721","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=5147 Win=333 Len=0"
"116","4.361088","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=6491 Win=344 Len=0"
"117","4.361371","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=7835 Win=354 Len=0"
"118","4.361371","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=8963 Win=365 Len=0"
"119","4.390702","142.251.10.93","192.168.43.205","TLSv1.2","516","Application Data"
"120","4.390702","142.251.10.93","192.168.43.205","TLSv1.2","147","Application Data, Application Data"
"121","4.390702","142.251.10.93","192.168.43.205","TLSv1.2","93","Application Data"
"122","4.391090","192.168.43.205","142.251.10.93","TCP","54","63115  >  443 [ACK] Seq=8963 Ack=673 Win=254 Len=0"
"123","4.393054","192.168.43.205","142.251.10.93","TLSv1.2","93","Application Data"
"124","4.444965","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=673 Ack=9002 Win=365 Len=0"
"125","4.458892","192.168.43.205","117.18.237.29","TCP","55","63052  >  80 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"126","4.510226","117.18.237.29","192.168.43.205","TCP","66","80  >  63052 [ACK] Seq=1 Ack=2 Win=143 Len=0 SLE=1 SRE=2"
"127","5.465711","192.168.43.205","117.18.237.29","TCP","54","63037  >  80 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"128","5.522514","117.18.237.29","192.168.43.205","TCP","54","80  >  63037 [FIN, ACK] Seq=1 Ack=2 Win=131 Len=0"
"129","5.523376","192.168.43.205","117.18.237.29","TCP","54","63037  >  80 [ACK] Seq=2 Ack=2 Win=254 Len=0"
"130","5.709858","192.168.43.205","192.168.43.1","DHCP","358","DHCP Request  - Transaction ID 0x1d476734"
"131","5.724443","192.168.43.1","192.168.43.205","DHCP","371","DHCP ACK      - Transaction ID 0x1d476734"
"132","5.745917","fe80::51f8:acc2:619a:d17b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"133","5.788821","fe80::51f8:acc2:619a:d17b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"134","5.790443","fe80::51f8:acc2:619a:d17b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"135","5.791074","fe80::51f8:acc2:619a:d17b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"136","5.850868","fe80::51f8:acc2:619a:d17b","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"137","7.594287","192.168.43.205","114.4.168.141","TCP","55","63082  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"138","7.594303","192.168.43.205","114.4.168.141","TCP","55","63050  >  80 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"139","7.622347","192.168.43.205","34.107.221.82","TCP","55","63043  >  80 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"140","7.638240","192.168.43.205","34.107.221.82","TCP","55","63048  >  80 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"141","7.685111","114.4.168.141","192.168.43.205","TCP","66","80  >  63082 [ACK] Seq=1 Ack=2 Win=237 Len=0 SLE=1 SRE=2"
"142","7.685364","114.4.168.141","192.168.43.205","TCP","66","80  >  63050 [ACK] Seq=1 Ack=2 Win=245 Len=0 SLE=1 SRE=2"
"143","7.697303","34.107.221.82","192.168.43.205","TCP","66","80  >  63048 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"144","7.697528","34.107.221.82","192.168.43.205","TCP","66","80  >  63043 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"145","7.952532","86:6f:ce:0e:20:db","HonHaiPr_3a:69:2b","ARP","42","Who has 192.168.43.205? Tell 192.168.43.1"
"146","7.952644","HonHaiPr_3a:69:2b","86:6f:ce:0e:20:db","ARP","42","192.168.43.205 is at 18:f4:6a:3a:69:2b"
"147","8.434263","192.168.43.205","104.18.31.182","TCP","55","63090  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"148","8.434552","192.168.43.205","104.18.31.182","TCP","55","63092  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"149","8.489683","104.18.31.182","192.168.43.205","TCP","66","80  >  63090 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2"
"150","8.490426","104.18.31.182","192.168.43.205","TCP","66","80  >  63092 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2"
"151","8.522106","192.168.43.205","104.18.31.182","TCP","55","63089  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"152","8.522105","192.168.43.205","104.18.31.182","TCP","55","63091  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"153","8.578736","192.168.43.205","104.18.31.182","TCP","55","63088  >  80 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"154","8.582189","104.18.31.182","192.168.43.205","TCP","66","80  >  63091 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2"
"155","8.582189","104.18.31.182","192.168.43.205","TCP","66","80  >  63089 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2"
"156","8.622198","192.168.43.205","13.33.33.114","TCP","55","63047  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"157","8.632699","104.18.31.182","192.168.43.205","TCP","66","80  >  63088 [ACK] Seq=1 Ack=2 Win=67 Len=0 SLE=1 SRE=2"
"158","8.680663","13.33.33.114","192.168.43.205","TCP","66","443  >  63047 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"159","8.890127","192.168.43.205","13.33.33.114","TCP","55","63049  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"160","8.950274","13.33.33.114","192.168.43.205","TCP","66","443  >  63049 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"161","9.338996","192.168.43.205","103.168.134.237","TLSv1.2","157","Application Data"
"162","9.390707","103.168.134.237","192.168.43.205","TCP","54","443  >  63087 [ACK] Seq=656 Ack=104 Win=289 Len=0"
"163","9.390979","103.168.134.237","192.168.43.205","TLSv1.2","386","Application Data"
"164","9.397875","192.168.43.205","103.168.134.237","TLSv1.2","726","Application Data"
"165","9.481851","103.168.134.237","192.168.43.205","TCP","54","443  >  63087 [ACK] Seq=988 Ack=776 Win=299 Len=0"
"166","10.358392","103.168.134.237","192.168.43.205","TCP","1398","443  >  63087 [ACK] Seq=988 Ack=776 Win=299 Len=1344 [TCP segment of a reassembled PDU]"
"167","10.358886","103.168.134.237","192.168.43.205","TCP","1398","443  >  63087 [ACK] Seq=2332 Ack=776 Win=299 Len=1344 [TCP segment of a reassembled PDU]"
"168","10.358886","103.168.134.237","192.168.43.205","TCP","1398","443  >  63087 [ACK] Seq=3676 Ack=776 Win=299 Len=1344 [TCP segment of a reassembled PDU]"
"169","10.359213","192.168.43.205","103.168.134.237","TCP","54","63087  >  443 [ACK] Seq=776 Ack=5020 Win=257 Len=0"
"170","10.359474","103.168.134.237","192.168.43.205","TCP","1398","443  >  63087 [ACK] Seq=5020 Ack=776 Win=299 Len=1344 [TCP segment of a reassembled PDU]"
"171","10.359650","192.168.43.205","103.168.134.237","TCP","54","63087  >  443 [ACK] Seq=776 Ack=6364 Win=257 Len=0"
"172","10.360849","103.168.134.237","192.168.43.205","TCP","1398","443  >  63087 [ACK] Seq=6364 Ack=776 Win=299 Len=1344 [TCP segment of a reassembled PDU]"
"173","10.360849","103.168.134.237","192.168.43.205","TLSv1.2","743","Application Data, Application Data"
"174","10.361062","192.168.43.205","103.168.134.237","TCP","54","63087  >  443 [ACK] Seq=776 Ack=8397 Win=257 Len=0"
"175","10.449754","192.168.43.205","36.37.122.158","TCP","66","63120  >  8082 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"176","10.454768","192.168.43.205","36.37.122.158","TCP","66","63121  >  8082 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"177","10.464632","192.168.43.205","192.168.43.1","DNS","84","Standard query 0x03a6 A digitalent.kominfo.go.id"
"178","10.465434","192.168.43.205","119.81.204.72","UDP","160","65112  >  443 Len=118"
"179","10.467287","192.168.43.205","103.168.134.11","TCP","1398","63070  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1344 [TCP segment of a reassembled PDU]"
"180","10.467287","192.168.43.205","103.168.134.11","TLSv1.2","762","Application Data"
"181","10.473757","192.168.43.205","103.168.134.11","TCP","1398","63070  >  443 [ACK] Seq=2053 Ack=1 Win=511 Len=1344 [TCP segment of a reassembled PDU]"
"182","10.473757","192.168.43.205","103.168.134.11","TLSv1.2","763","Application Data"
"183","10.492095","36.37.122.158","192.168.43.205","TCP","66","8082  >  63120 [SYN, ACK] Seq=0 Ack=1 Win=27200 Len=0 MSS=1344 SACK_PERM=1 WS=256"
"184","10.492586","192.168.43.205","36.37.122.158","TCP","54","63120  >  8082 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"185","10.493819","36.37.122.158","192.168.43.205","TCP","66","8082  >  63121 [SYN, ACK] Seq=0 Ack=1 Win=27200 Len=0 MSS=1344 SACK_PERM=1 WS=256"
"186","10.494146","192.168.43.205","36.37.122.158","TCP","54","63121  >  8082 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"187","10.499467","192.168.43.205","36.37.122.158","TLSv1.2","571","Client Hello"
"188","10.507574","192.168.43.205","36.37.122.158","TLSv1.2","571","Client Hello"
"189","10.514299","192.168.43.1","192.168.43.205","DNS","100","Standard query response 0x03a6 A digitalent.kominfo.go.id A 103.168.134.11"
"190","10.517719","103.168.134.11","192.168.43.205","TCP","54","443  >  63070 [ACK] Seq=1 Ack=2053 Win=1662 Len=0"
"191","10.517981","103.168.134.11","192.168.43.205","TCP","54","443  >  63070 [ACK] Seq=1 Ack=4106 Win=1662 Len=0"
"192","10.522017","103.168.134.11","192.168.43.205","TLSv1.2","138","Application Data"
"193","10.522017","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=85 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"194","10.522017","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=1429 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"195","10.522017","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=2773 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"196","10.522557","192.168.43.205","103.168.134.11","TCP","54","63070  >  443 [ACK] Seq=4106 Ack=4117 Win=514 Len=0"
"197","10.526862","192.168.43.205","192.168.43.1","DNS","84","Standard query 0x03a6 A digitalent.kominfo.go.id"
"198","10.528747","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=4117 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"199","10.529003","192.168.43.1","192.168.43.205","DNS","100","Standard query response 0x03a6 A digitalent.kominfo.go.id A 103.168.134.11"
"200","10.529003","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=5461 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"201","10.529204","192.168.43.205","103.168.134.11","TCP","54","63070  >  443 [ACK] Seq=4106 Ack=6805 Win=514 Len=0"
"202","10.529372","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=6805 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"203","10.529372","103.168.134.11","192.168.43.205","TLSv1.2","305","Application Data, Application Data"
"204","10.529372","103.168.134.11","192.168.43.205","TLSv1.2","115","Application Data"
"205","10.529372","103.168.134.11","192.168.43.205","TCP","1398","443  >  63070 [ACK] Seq=8461 Ack=4106 Win=1662 Len=1344 [TCP segment of a reassembled PDU]"
"206","10.529542","192.168.43.205","103.168.134.11","TCP","54","63070  >  443 [ACK] Seq=4106 Ack=9805 Win=514 Len=0"
"207","10.541459","36.37.122.158","192.168.43.205","TCP","54","8082  >  63120 [ACK] Seq=1 Ack=518 Win=28416 Len=0"
"208","10.543668","119.81.204.72","192.168.43.205","UDP","282","443  >  65112 Len=240"
"209","10.546329","192.168.43.205","192.168.43.1","DNS","84","Standard query 0x4a31 A digitalent.kominfo.go.id"
"210","10.546561","192.168.43.205","119.81.204.72","UDP","160","64374  >  443 Len=118"
"211","10.550170","36.37.122.158","192.168.43.205","TLSv1.2","1398","Server Hello"
"212","10.550170","36.37.122.158","192.168.43.205","TCP","1398","8082  >  63120 [ACK] Seq=1345 Ack=518 Win=28416 Len=1344 [TCP segment of a reassembled PDU]"
"213","10.550170","36.37.122.158","192.168.43.205","TCP","1398","8082  >  63120 [ACK] Seq=2689 Ack=518 Win=28416 Len=1344 [TCP segment of a reassembled PDU]"
"214","10.550170","36.37.122.158","192.168.43.205","TLSv1.2","503","Certificate, Server Key Exchange, Certificate Request, Server Hello Done"
"215","10.550170","192.168.43.1","192.168.43.205","DNS","100","Standard query response 0x4a31 A digitalent.kominfo.go.id A 103.168.134.11"
"216","10.551410","192.168.43.205","36.37.122.158","TCP","54","63120  >  8082 [ACK] Seq=518 Ack=4482 Win=65792 Len=0"
"217","10.555757","103.168.134.11","192.168.43.205","TLSv1.2","446","Application Data"
